twitter_id,label,__split
976944029630914562,satire,val
976942609498288129,satire,test
976940894900445189,satire,val
976935455999561731,satire,train
976935093636943873,satire,test
976934819992096769,satire,train
976931599332859904,satire,val
976902035382652928,satire,train
976895809735315456,satire,train
976890226638499840,satire,val
976885542834106368,satire,test
976881202610126848,satire,train
976874351877328896,satire,val
976863474788814850,satire,train
976863472834285568,satire,train
976863470766436352,satire,train
976863468547727360,satire,train
976863466949611525,satire,train
976863465313918976,satire,train
976863463984238592,satire,test
976863462373642240,satire,test
976863460305891328,satire,val
976863458426843139,satire,train
976863456698781697,satire,test
976863454836527104,satire,train
976863451980197896,satire,val
976856040754110464,satire,train
976839152594497542,satire,val
976827246915747842,satire,train
976807015979864065,satire,train
976793792551505920,satire,train
976781971761319937,satire,train
976777877361451008,satire,val
976776632055853056,satire,val
976764317428338688,satire,val
976761907301568512,satire,train
976759927862636545,satire,train
976759269621227520,satire,train
976757744278691840,satire,train
976748178170146817,satire,train
976746840468217857,satire,test
976743610036244480,satire,test
976740420452569088,satire,val
976739879043457024,satire,val
976738534387220480,satire,train
976737746420158464,satire,val
976735488118853633,satire,val
976731846909284352,satire,train
976726746782486528,satire,train
976717660451942400,satire,train
976615930322178049,satire,test
976599809372184577,satire,train
976573448003694594,satire,train
976566673523298305,satire,train
976562117972234241,satire,train
976559264243298304,satire,train
976498166429298688,satire,train
976475025296502784,satire,train
976460092508901376,satire,train
976454498385264641,satire,val
976454252137799685,satire,train
976451267907203072,satire,train
976444626998620161,satire,train
976429488958574592,satire,train
976426165203238912,satire,test
976425187250974720,satire,train
976418929592688641,satire,train
976415342045073408,satire,train
976413360097976320,satire,train
976382456063504387,satire,train
976381774489096192,satire,val
976381523615154178,satire,train
976376216537182208,satire,train
976375358755889152,satire,train
976370195265740800,satire,test
976368940590002176,satire,train
976356286118981633,satire,train
976233719068545024,satire,train
976208393349357568,satire,val
976202261356564482,satire,train
976197905139855360,satire,train
976171022352310272,satire,val
976166085132259329,satire,train
976162166108762113,satire,train
976160862577840135,satire,train
976160736262131713,satire,train
976142704299184130,satire,train
976137114218790913,satire,train
976134674060857344,satire,train
976134331642019840,satire,train
976123685013807104,satire,train
976067251437785089,satire,train
976067107896070147,satire,train
976061758069706752,satire,train
976061124855631873,satire,test
976050973390135296,satire,train
976045777872138240,satire,train
976039395517239296,satire,train
976035624099573760,satire,train
976025554980712448,satire,val
976017899256238081,satire,train
976003787201630208,satire,train
975865048089399296,satire,train
975847745947881472,satire,test
975842787995344901,satire,val
975841635115393029,satire,train
975839628736585728,satire,train
975837737663287296,satire,val
975835989510942720,satire,test
975835522600980481,satire,train
975834545667928064,satire,val
975815967837179904,satire,train
975778937614692353,satire,train
975727390176489472,satire,train
975690606105235456,satire,train
975683312978145285,satire,train
975674356184571904,satire,test
975673435702595584,satire,test
975657627186335744,satire,train
975655887040925697,satire,train
975651151902277632,satire,test
975650583221800960,satire,val
975645435598647296,satire,train
975645043188031488,satire,test
975487267232985088,satire,val
975483403482083329,satire,val
975482958315442176,satire,train
975482128224997378,satire,train
975481361871097862,satire,train
975480392089309187,satire,train
975478813172883459,satire,train
975478378664026112,satire,train
975476473829232640,satire,val
975454460376952834,satire,test
975447414986477570,satire,train
975446743541211137,satire,train
975387865009020928,satire,train
975351026059489280,satire,val
975340901848506369,satire,val
975328232009498624,satire,val
975312931545116672,satire,train
975306909455732736,satire,train
975305719141601280,satire,train
975304763817517056,satire,train
975304099653660673,satire,train
975303900839469056,satire,train
975295587833843712,satire,test
975293483664773120,satire,test
975112554082193408,satire,train
975105355133931520,satire,train
975091901593341952,satire,val
975069264431534081,satire,test
975065478879219712,satire,train
975054154820456448,satire,train
975042829125746689,satire,train
975039057116844033,satire,train
975010375707086853,satire,val
974987035655200768,satire,train
974979969775521797,satire,val
974971106305036288,satire,test
974956006718431232,satire,train
974952231777615873,satire,val
974948459689271297,satire,train
974940907794550784,satire,train
978026847630954497,satire,val
977967862609580032,satire,val
978032676434317312,satire,train
979469998698778626,satire,train
979489396859834368,satire,train
979808491874541568,satire,train
979806162735521792,satire,val
980193777502576640,satire,test
980532910318084096,satire,train
980495991681048576,satire,val
981647691469000704,satire,train
981652761858146306,satire,train
982002450432495617,satire,train
982356141660401664,satire,train
982707593956257792,satire,train
983038011402158083,satire,train
983965952655155200,non-satire,train
983963064654487553,satire,test
983951798816960514,non-satire,train
983947793109868545,non-satire,train
983902496702849025,non-satire,train
983894935907782656,non-satire,train
983868496089157632,non-satire,val
983845850173624320,non-satire,train
983834536004980736,non-satire,train
983830876332183552,non-satire,train
983821926123491329,non-satire,train
983816892908355584,non-satire,test
983814377362087936,non-satire,train
983811861337358338,non-satire,train
983810877358034944,non-satire,train
983809344302182400,non-satire,train
983801793921495042,non-satire,val
983801413913530369,satire,train
983799201371967488,satire,train
983796769384476672,non-satire,train
983796048584945664,satire,train
983791728875528192,non-satire,train
983790469372174338,non-satire,train
983785436236611585,non-satire,val
983784179392491520,non-satire,train
983782510667714561,non-satire,train
983781188983775232,non-satire,train
983778907060166657,satire,train
983774807346024449,satire,train
983766809118760961,satire,train
984362739480059904,non-satire,test
984356449030758400,non-satire,train
984352842726236160,non-satire,train
984352673884528640,non-satire,test
984347780041904128,non-satire,test
984344872399273984,non-satire,train
984343290123255808,satire,train
984343063643467776,satire,val
984341018702241792,satire,val
984338631107252224,non-satire,train
984336556696702976,non-satire,test
984329844031983616,satire,train
984324429311365120,satire,test
984324152365666305,non-satire,train
984311404923686915,satire,test
984310184779636737,non-satire,val
984302859226374145,non-satire,train
984287511999582208,non-satire,test
984234682924625922,non-satire,train
984223333133832192,non-satire,train
984209777382318080,non-satire,train
984193139488501761,non-satire,train
984176765445656576,non-satire,val
984167970707472384,satire,val
984166700240093184,non-satire,train
984161666672877573,non-satire,train
984160565550637059,satire,test
984159150136483840,non-satire,train
984156034972422144,satire,val
984154857723621380,satire,train
984146222884835328,non-satire,train
984144192686493696,non-satire,test
984135499043532801,satire,test
984135441707421696,satire,train
984135241081044992,non-satire,train
984135228355735557,non-satire,test
984128459684409352,satire,train
986610838105706497,non-satire,train
986600926306865152,satire,test
986587667923128322,non-satire,val
986585337559384064,non-satire,test
986581245294465024,satire,test
986579257563467776,non-satire,val
986575860659621888,non-satire,train
986570050646589440,non-satire,train
986567348764241920,satire,test
986566382576918529,non-satire,train
986565014399176705,non-satire,train
986564739504451584,non-satire,train
986562501730021381,non-satire,test
986561258949431297,satire,train
986559715822878721,satire,train
986553385875886080,satire,train
986552876980940801,satire,val
986552336670711809,satire,train
986551888547078144,satire,train
986547137289900032,satire,train
986546654806528001,non-satire,val
986546040617750528,non-satire,test
986542631160303616,satire,train
986538682378309632,satire,train
986534531292426240,satire,train
986534356528267265,satire,train
986532485231243264,non-satire,train
986525165189259264,satire,train
986517437372772353,non-satire,train
986514126901055488,satire,val
986513300375687168,satire,train
986507124263063552,satire,test
986499821392486402,non-satire,train
986494787980111874,non-satire,test
986493211848921088,satire,train
986465611021737984,non-satire,train
986450892563140610,non-satire,train
986393916789477383,non-satire,train
986867941839908864,satire,test
986859665370775553,non-satire,train
986773474973712385,non-satire,test
986744953408761856,non-satire,train
987226320408018944,non-satire,train
987211770346528769,satire,val
987209280125308928,non-satire,test
987205484884168705,non-satire,train
987186614064570369,non-satire,train
987129988959952896,non-satire,train
987084301828345857,satire,val
987080166089388034,non-satire,train
987076267932602368,satire,train
987073350823489537,non-satire,train
987063284321824768,non-satire,val
987060768586846208,non-satire,val
987059311825301504,satire,train
987058995616796672,satire,train
987058264537010177,non-satire,test
987054800926920705,satire,val
987050197871157248,non-satire,val
987035255344455680,satire,test
987033737308368901,non-satire,train
987029728199573504,non-satire,val
987027560231030784,satire,train
987025073998614534,non-satire,test
987011712091029504,non-satire,val
987276413584723968,satire,train
987274326658506752,satire,train
987268637718278149,non-satire,val
987267474243629056,satire,test
987264787322228736,non-satire,val
987257790547800065,satire,test
987255444975562752,non-satire,train
987254555191709696,satire,train
987250294332502016,non-satire,test
987246996141436928,satire,train
987231896789696512,satire,train
987229436297785344,non-satire,val
988100122427863041,satire,train
988093841591894017,non-satire,train
988084649384701953,non-satire,train
988079480752062464,non-satire,val
988076963918241794,non-satire,train
988071447124996096,non-satire,test
988067149469114368,non-satire,train
988056335991427074,satire,test
988046651347566593,satire,train
988039719312338945,satire,test
988036949976870913,non-satire,train
988025892126457857,satire,test
988021850327470080,non-satire,train
988014300626219008,non-satire,train
987993756938002432,satire,train
987984101809549312,non-satire,train
987981585441009664,non-satire,train
987974904174841856,satire,val
987964220883914753,satire,val
987953902547943425,non-satire,test
987941531654000641,non-satire,train
987900408600383488,non-satire,train
987900306662019073,non-satire,train
987893879809740802,non-satire,train
987854762589741056,non-satire,train
987830056868368384,non-satire,train
988282963505958913,non-satire,train
988277407479197698,non-satire,train
988272532485824513,non-satire,train
988670883798634496,non-satire,test
988667419433545728,non-satire,val
988664673997344770,non-satire,train
988527170917208064,satire,test
988517882345684993,non-satire,test
988513803351584773,non-satire,test
988505974376976387,satire,train
988499659294433281,non-satire,train
988496010161815553,non-satire,test
988495722684276737,non-satire,val
988491377838305282,satire,train
988484183696855042,satire,train
988479543395614720,satire,train
988473301692448769,non-satire,val
988469513384611840,non-satire,val
988468475411787778,non-satire,train
988467569530167297,non-satire,test
988464215072624640,satire,train
988872707419836416,non-satire,train
988870976879452160,satire,train
988863522934312963,non-satire,test
988861923386101764,non-satire,train
988859325945925632,non-satire,train
988845380640083969,satire,train
988841104727527426,non-satire,train
988834122553593857,non-satire,train
988833403171753984,satire,train
988832044141744128,non-satire,test
988828798551515136,non-satire,val
988819425783623680,satire,train
988812334381531137,non-satire,val
988810517979582465,non-satire,train
988809538710179841,non-satire,train
988808534274920454,non-satire,train
988805137505374208,non-satire,test
988800558474711040,non-satire,train
988790163470942208,non-satire,train
988776825349332994,non-satire,train
988768909942837248,non-satire,train
988768222987083776,satire,val
988766044432097281,satire,test
988758045156171777,satire,train
988756747807547392,non-satire,train
988750685276696576,non-satire,test
988733424868446209,non-satire,train
988730026517581824,non-satire,train
988721472683298817,satire,test
988719261374967810,non-satire,val
988716320199008256,satire,val
988712945134854144,non-satire,train
988690268844158976,non-satire,val
988689689887457280,satire,train
989431136513339392,non-satire,train
989421069978165248,non-satire,val
989420703245103104,satire,train
989420701835759616,satire,train
989420697326964736,satire,train
989420694638399488,satire,test
989420692012765184,satire,test
989420689475108864,satire,train
989420688107888640,satire,val
989420686799245312,satire,test
989420685524127745,satire,val
989420684081352704,satire,train
989418671033475072,satire,test
989409868921688064,non-satire,val
989402509239377920,satire,train
989401158560239616,non-satire,test
989398421265141760,non-satire,test
989381850727624704,satire,train
989308145267806208,non-satire,val
989250436715700224,satire,test
989250096779988993,non-satire,train
989241444333481985,satire,train
989235095226773504,non-satire,train
989233078513098752,satire,val
989232851076993029,satire,train
989232588366598145,non-satire,train
989230061520850944,non-satire,train
989228551739097089,non-satire,train
989218199311994880,satire,train
989212137242406918,non-satire,val
989211019447857153,satire,train
